name,ring,quadrant,isNew,description,ring2
JDK 8,pro,languages & frameworks,false,,adopt
JDK 17,pro,languages & frameworks,false,,adopt
libgdx,pro,languages & frameworks,false,,adopt
JavaScript,pro,languages & frameworks,false,,adopt
HTML,pro,languages & frameworks,false,,adopt
CSS,pro,languages & frameworks,false,,adopt
Hibernate,pro,languages & frameworks,false,,adopt
Bean Validation,pro,languages & frameworks,false,,adopt
Express.js,pro,languages & frameworks,false,,adopt
Markdown,pro,languages & frameworks,false,,adopt
Xcode,pro,platforms,false,,adopt
Linux,pro,platforms,false,,adopt
Windows 10,pro,platforms,false,,adopt
MacOS,pro,platforms,false,,adopt
FitBit,pro,platforms,false,,adopt
Clean Code,pro,techniques,false,,adopt
S.M.A.R.T.,pro,techniques,false,,adopt
OKR,pro,techniques,false,,adopt
Scrum,pro,techniques,false,,adopt
RESTfull,pro,techniques,false,,adopt
Node.js,pro,tools,false,,adopt
IntelliJ,pro,tools,false,,adopt
Oracle DB,pro,tools,false,,adopt
SQLite 3,pro,tools,false,,adopt
Chrome,pro,tools,false,,adopt
Obsidian,pro,tools,false,,adopt
Geany,pro,tools,false,,adopt
MS Office,pro,tools,false,,adopt
LibreOffice,pro,tools,false,,adopt
npm,pro,tools,false,,adopt
Jira,pro,tools,false,,adopt
Confluence,pro,tools,false,,adopt
Jenkins,pro,tools,false,,adopt
11ty,pro,tools,false,,adopt
Flutter,beginner,languages & frameworks,false,,trial
OpenAPI,advanced,languages & frameworks,false,,trial
Kubernetes,beginner,platforms,false,,assess
Kanban,advanced,techniques,false,,trial
Lean,beginner,techniques,false,,assess
Postgres,beginner,tools,false,,trial
JDK 18,beginner,languages & frameworks,false,,trial
Spring,beginner,languages & frameworks,false,,adopt
Spring Boot,beginner,languages & frameworks,false,,trial
React,beginner,languages & frameworks,false,,trial
Rust,ignore,languages & frameworks,false,,hold
ColdFusion,ignore,languages & frameworks,false,,hold
Delphi 2009,ignore,languages & frameworks,false,,hold
Windows 11,ignore,platforms,false,,hold
Eclipse,ignore,tools,false,,hold
